Title,Description
The Motorcycle Diaries,"The Motorcycle Diaries (2004) is a adventure film directed by Walter Salles. Featuring Gael García, Bernal Rodrigo, de la, and others, this movie has an IMDb rating of 7.7/10 and a MetaScore of 75.0. With a runtime of 126 minutes, it is rated R."
Frances,"Frances (1982) is a biography film directed by Graeme Clifford. Featuring Jessica Lange, Jonathan Banks, Bonnie Bartlett, this movie has an IMDb rating of 7.2/10 and a MetaScore of 48.0. With a runtime of 140 minutes, it is rated R."
Maudie,"Maudie (2016) is a biography film directed by Aisling Walsh. Featuring Sally Hawkins, Ethan Hawke, Zachary Bennett, this movie has an IMDb rating of 7.6/10 and a MetaScore of 65.0. With a runtime of 115 minutes, it is rated PG-13."
Joe Bell,"Joe Bell (2020) is a biography film directed by Reinaldo Marcus Green. Featuring Mark Wahlberg, Reid Miller, Connie Britton, this movie has an IMDb rating of 6.2/10 and a MetaScore of 54.0. With a runtime of 94 minutes, it is rated R."
How to Lose Friends & Alienate People,"How to Lose Friends & Alienate People (2008) is a biography film directed by Robert B. Weide. Featuring Simon Pegg, Kirsten Dunst, Megan Fox, this movie has an IMDb rating of 6.4/10 and a MetaScore of 35.0. With a runtime of 110 minutes, it is rated R."
Sid and Nancy,"Sid and Nancy (1986) is a biography film directed by Alex Cox. Featuring Gary Oldman, Chloe Webb, David Hayman, this movie has an IMDb rating of 7.0/10 and a MetaScore of 76.0. With a runtime of 112 minutes, it is rated R."
Invincible,"Invincible (2006) is a biography film directed by Ericson Core. Featuring Mark Wahlberg, Greg Kinnear, Elizabeth Banks, this movie has an IMDb rating of 7.0/10 and a MetaScore of 63.0. With a runtime of 105 minutes, it is rated PG."
The People vs. Larry Flynt,"The People vs. Larry Flynt (1996) is a biography film directed by Milos Forman. Featuring Woody Harrelson, Courtney Love, Edward Norton, this movie has an IMDb rating of 7.3/10 and a MetaScore of 79.0. With a runtime of 130 minutes, it is rated R."
Prozac Nation,"Prozac Nation (2001) is a biography film directed by Erik Skjoldbjærg. Featuring Elizabeth Wurtzel, Galt Niederhoffer, Frank Deasy, this movie has an IMDb rating of 6.2/10 and a MetaScore of 66.0. With a runtime of 95 minutes, it is rated R."
Jackie,"Jackie (2016) is a biography film directed by Pablo Larraín. Featuring Natalie Portman, Peter Sarsgaard, Greta Gerwig, this movie has an IMDb rating of 6.7/10 and a MetaScore of 81.0. With a runtime of 100 minutes, it is rated R."
Dragon: The Bruce Lee Story,"Dragon: The Bruce Lee Story (1993) is a action film directed by Rob Cohen. Featuring Robert Clouse, Linda Lee, Cadwell Edward, and others, this movie has an IMDb rating of 7.0/10 and a MetaScore of 69.0. With a runtime of 120 minutes, it is rated PG-13."
Becoming Jane,"Becoming Jane (2007) is a biography film directed by Julian Jarrold. Featuring Anne Hathaway, James Mc, Avoy Julie, and others, this movie has an IMDb rating of 7.0/10 and a MetaScore of 55.0. With a runtime of 120 minutes, it is rated PG."
Radioactive,"Radioactive (2019) is a biography film directed by Marjane Satrapi. Featuring Rosamund Pike, Yvette Feuer, Mirjam Novak, this movie has an IMDb rating of 6.3/10 and a MetaScore of 56.0. With a runtime of 109 minutes, it is rated PG-13."
La Vie En Rose,"La Vie En Rose (2007) is a biography film directed by Olivier Dahan. Featuring Marion Cotillard, Sylvie Testud, Pascal Greggory, this movie has an IMDb rating of 7.6/10 and a MetaScore of 66.0. With a runtime of 140 minutes, it is rated PG-13."
Jobs,"Jobs (2013) is a biography film directed by Joshua Michael Stern. Featuring Ashton Kutcher, Dermot Mulroney, Josh Gad, this movie has an IMDb rating of 6.0/10 and a MetaScore of 44.0. With a runtime of 128 minutes, it is rated PG-13."
Trumbo,"Trumbo (2015) is a biography film directed by Jay Roach. Featuring Bryan Cranston, Diane Lane, Helen Mirren, this movie has an IMDb rating of 7.4/10 and a MetaScore of 60.0. With a runtime of 124 minutes, it is rated R."
Rescue Dawn,"Rescue Dawn (2006) is a adventure film directed by Werner Herzog. Featuring Christian Bale, Steve Zahn, Jeremy Davies, this movie has an IMDb rating of 7.3/10 and a MetaScore of 77.0. With a runtime of 125 minutes, it is rated PG-13."
Fruitvale Station,"Fruitvale Station (2013) is a biography film directed by Ryan Coogler. Featuring Michael, B., Jordan Melonie, and others, this movie has an IMDb rating of 7.5/10 and a MetaScore of 85.0. With a runtime of 85 minutes, it is rated R."
J. Edgar,"J. Edgar (2011) is a biography film directed by Clint Eastwood. Featuring Leonardo Di, Caprio Armie, Hammer Naomi, and others, this movie has an IMDb rating of 6.5/10 and a MetaScore of 59.0. With a runtime of 137 minutes, it is rated R."
Conviction,"Conviction (2010) is a biography film directed by Tony Goldwyn. Featuring Hilary Swank, Sam Rockwell, Melissa Leo, this movie has an IMDb rating of 7.2/10 and a MetaScore of 61.0. With a runtime of 107 minutes, it is rated R."
Hands of Stone,"Hands of Stone (2016) is a biography film directed by Jonathan Jakubowicz. Featuring Edgar Ramírez, Usher Robert, De Niro, this movie has an IMDb rating of 6.6/10 and a MetaScore of 54.0. With a runtime of 111 minutes, it is rated R."
The Two Popes,"The Two Popes (2019) is a biography film directed by Fernando Meirelles. Featuring Jonathan Pryce, Anthony Hopkins, Juan Minujín, this movie has an IMDb rating of 7.6/10 and a MetaScore of 75.0. With a runtime of 125 minutes, it is rated PG-13."
Clouds,"Clouds (2020) is a biography film directed by Justin Baldoni. Featuring Kara Holden, Casey La, Scala Patrick, and others, this movie has an IMDb rating of 7.5/10 and a MetaScore of 55.0. With a runtime of 121 minutes, it is rated PG-13."
True History of the Kelly Gang,"True History of the Kelly Gang (2019) is a action film directed by Justin Kurzel. Featuring George Mac, Kay Essie, Davis Nicholas, and others, this movie has an IMDb rating of 6.0/10 and a MetaScore of 75.0. With a runtime of 124 minutes, it is rated R."
Rabbit-Proof Fence,"Rabbit-Proof Fence (2002) is a adventure film directed by Phillip Noyce. Featuring Everlyn Sampi, Tianna Sansbury, Kenneth Branagh, this movie has an IMDb rating of 7.4/10 and a MetaScore of 80.0. With a runtime of 94 minutes, it is rated PG."
Notorious,"Notorious (2009) is a biography film directed by George Tillman Jr.. Featuring Jamal Woolard, Anthony Mackie, Derek Luke, this movie has an IMDb rating of 6.7/10 and a MetaScore of 60.0. With a runtime of 122 minutes, it is rated R."
Ali,"Ali (2001) is a biography film directed by Michael Mann. Featuring Gregory Allen, Howard Stephen, J., and others, this movie has an IMDb rating of 6.7/10 and a MetaScore of 65.0. With a runtime of 157 minutes, it is rated R."
Michael Collins,"Michael Collins (1996) is a biography film directed by Neil Jordan. Featuring Liam Neeson, Aidan Quinn, Julia Roberts, this movie has an IMDb rating of 7.1/10 and a MetaScore of 59.0. With a runtime of 133 minutes, it is rated R."
Welcome to Marwen,"Welcome to Marwen (2018) is a biography film directed by Robert Zemeckis. Featuring Steve Carell, Falk Hentschel, Matt, and others, this movie has an IMDb rating of 6.2/10 and a MetaScore of 40.0. With a runtime of 116 minutes, it is rated PG-13."
Judy,"Judy (2019) is a biography film directed by Rupert Goold. Featuring Renée Zellweger, Jessie Buckley, Finn Wittrock, this movie has an IMDb rating of 6.8/10 and a MetaScore of 66.0. With a runtime of 118 minutes, it is rated PG-13."
Control,"Control (2007) is a biography film directed by Anton Corbijn. Featuring Sam Riley, Samantha Morton, Craig Parkinson, this movie has an IMDb rating of 7.6/10 and a MetaScore of 78.0. With a runtime of 122 minutes, it is rated R."
Hidalgo,"Hidalgo (2004) is a action film directed by Joe Johnston. Featuring Viggo Mortensen, Omar Sharif, Zuleikha Robinson, this movie has an IMDb rating of 6.7/10 and a MetaScore of 54.0. With a runtime of 136 minutes, it is rated PG-13."
Hitchcock,"Hitchcock (2012) is a biography film directed by Sacha Gervasi. Featuring Anthony Hopkins, Helen Mirren, Scarlett Johansson, this movie has an IMDb rating of 6.8/10 and a MetaScore of 55.0. With a runtime of 98 minutes, it is rated PG-13."
Miss Potter,"Miss Potter (2006) is a biography film directed by Chris Noonan. Featuring Renée Zellweger, Ewan Mc, Gregor Emily, and others, this movie has an IMDb rating of 7.0/10 and a MetaScore of 57.0. With a runtime of 88 minutes, it is rated PG."
The Greatest Game Ever Played,"The Greatest Game Ever Played (2005) is a biography film directed by Bill Paxton. Featuring Mark Frost, this movie has an IMDb rating of 7.4/10 and a MetaScore of 55.0. With a runtime of 120 minutes, it is rated PG."
Kill Your Darlings,"Kill Your Darlings (2013) is a biography film directed by John Krokidas. Featuring Austin Bunn, John Krokidas, this movie has an IMDb rating of 6.4/10 and a MetaScore of 65.0. With a runtime of 104 minutes, it is rated R."
"Don't Worry, He Won't Get Far on Foot","Don't Worry, He Won't Get Far on Foot (2018) is a biography film directed by Gus Van Sant. Featuring John Callahan, Gus Van, Sant Jack, and others, this movie has an IMDb rating of 6.8/10 and a MetaScore of 67.0. With a runtime of 114 minutes, it is rated R."
Find Me Guilty,"Find Me Guilty (2006) is a biography film directed by Sidney Lumet. Featuring Vin Diesel, Peter Dinklage, Ron Silver, this movie has an IMDb rating of 7.0/10 and a MetaScore of 65.0. With a runtime of 125 minutes, it is rated R."
Man on the Moon,"Man on the Moon (1999) is a biography film directed by Milos Forman. Featuring Jim Carrey, Danny De, Vito Gerry, and others, this movie has an IMDb rating of 7.4/10 and a MetaScore of 58.0. With a runtime of 118 minutes, it is rated R."
A Private War,"A Private War (2018) is a biography film directed by Matthew Heineman. Featuring Rosamund Pike, Alexandra Moen, Tom Hollander, this movie has an IMDb rating of 6.7/10 and a MetaScore of 75.0. With a runtime of 110 minutes, it is rated R."
The Sessions,"The Sessions (2012) is a biography film directed by Ben Lewin. Featuring John Hawkes, Helen Hunt, William, and others, this movie has an IMDb rating of 7.2/10 and a MetaScore of 79.0. With a runtime of 95 minutes, it is rated R."
Confessions of a Dangerous Mind,"Confessions of a Dangerous Mind (2002) is a biography film directed by George Clooney. Featuring Sam Rockwell, Drew Barrymore, George Clooney, this movie has an IMDb rating of 7.0/10 and a MetaScore of 67.0. With a runtime of 113 minutes, it is rated R."
Race,"Race (2016) is a biography film directed by Stephen Hopkins. Featuring Stephan James, Jason Sudeikis, Eli Goree, this movie has an IMDb rating of 7.1/10 and a MetaScore of 56.0. With a runtime of 134 minutes, it is rated PG-13."
The Hurricane,"The Hurricane (1999) is a biography film directed by Norman Jewison. Featuring Rubin, 'Hurricane', Carter Sam, and others, this movie has an IMDb rating of 7.6/10 and a MetaScore of 74.0. With a runtime of 146 minutes, it is rated R."
Tucker: The Man and His Dream,"Tucker: The Man and His Dream (1988) is a biography film directed by Francis Ford Coppola. Featuring Jeff Bridges, Joan Allen, Martin Landau, this movie has an IMDb rating of 6.9/10 and a MetaScore of 76.0. With a runtime of 110 minutes, it is rated PG."
Brain on Fire,"Brain on Fire (2016) is a biography film directed by Gerard Barrett. Featuring Chloë Grace, Moretz Thomas, Mann Richard, and others, this movie has an IMDb rating of 6.6/10 and a MetaScore of 34.0. With a runtime of 88 minutes, it is rated PG-13."
Whitney Houston: I Wanna Dance with Somebody,"Whitney Houston: I Wanna Dance with Somebody (2022) is a biography film directed by Kasi Lemmons. Featuring Naomi Ackie, Stanley Tucci, Ashton Sanders, this movie has an IMDb rating of 6.6/10 and a MetaScore of 51.0. With a runtime of 144 minutes, it is rated PG-13."
Chopper,"Chopper (2000) is a biography film directed by Andrew Dominik. Featuring Eric Bana, Simon Lyndon, Vince Colosimo, this movie has an IMDb rating of 7.1/10 and a MetaScore of 68.0. With a runtime of 94 minutes, it is rated R."
Radio,"Radio (2003) is a biography film directed by Michael Tollin. Featuring Cuba Gooding, Jr.Ed Harris, Debra Winger, this movie has an IMDb rating of 6.9/10 and a MetaScore of 38.0. With a runtime of 109 minutes, it is rated PG."
Julie & Julia,"Julie & Julia (2009) is a biography film directed by Nora Ephron. Featuring Nora Ephron, Julie Powell, Julia Child, this movie has an IMDb rating of 7.0/10 and a MetaScore of 66.0. With a runtime of 123 minutes, it is rated PG-13."
The Imposter,"The Imposter (2012) is a documentary film directed by Bart Layton. Featuring Adam, O'Brian Nicholas, Barclay Carey, and others, this movie has an IMDb rating of 7.5/10 and a MetaScore of 77.0. With a runtime of 99 minutes, it is rated R."
Boy Erased,"Boy Erased (2018) is a biography film directed by Joel Edgerton. Featuring Lucas Hedges, Nicole Kidman, Joel Edgerton, this movie has an IMDb rating of 6.9/10 and a MetaScore of 69.0. With a runtime of 115 minutes, it is rated R."
The Long Riders,"The Long Riders (1980) is a biography film directed by Walter Hill. Featuring Bill Bryden, Steven Smith, Stacy Keach, this movie has an IMDb rating of 6.9/10 and a MetaScore of 68.0. With a runtime of 100 minutes, it is rated R."
My All-American,"My All-American (2015) is a biography film directed by Angelo Pizzo. Featuring Aaron Eckhart, Finn Wittrock, Robin Tunney, this movie has an IMDb rating of 7.1/10 and a MetaScore of 34.0. With a runtime of 118 minutes, it is rated PG."
Bugsy,"Bugsy (1991) is a biography film directed by Barry Levinson. Featuring Warren Beatty, Annette Bening, Harvey Keitel, this movie has an IMDb rating of 6.8/10 and a MetaScore of 80.0. With a runtime of 136 minutes, it is rated R."
The Eyes of Tammy Faye,"The Eyes of Tammy Faye (2021) is a biography film directed by Michael Showalter. Featuring Jessica Chastain, Andrew Garfield, Cherry Jones, this movie has an IMDb rating of 6.6/10 and a MetaScore of 55.0. With a runtime of 126 minutes, it is rated PG-13."
Chaplin,"Chaplin (1992) is a biography film directed by Richard Attenborough. Featuring David Robinson, Charles Chaplin, Diana Hawkins, this movie has an IMDb rating of 7.5/10 and a MetaScore of 47.0. With a runtime of 143 minutes, it is rated PG-13."
Being the Ricardos,"Being the Ricardos (2021) is a biography film directed by Aaron Sorkin. Featuring Nicole Kidman, Javier Bardem, J.K., and others, this movie has an IMDb rating of 6.5/10 and a MetaScore of 60.0. With a runtime of 131 minutes, it is rated R."
The Tender Bar,"The Tender Bar (2021) is a biography film directed by George Clooney. Featuring Ben Affleck, Tye Sheridan, Daniel Ranieri, this movie has an IMDb rating of 6.7/10 and a MetaScore of 53.0. With a runtime of 106 minutes, it is rated R."
The Butler,"The Butler (2013) is a biography film directed by Lee Daniels. Featuring Forest Whitaker, Oprah Winfrey, John Cusack, this movie has an IMDb rating of 7.2/10 and a MetaScore of 65.0. With a runtime of 132 minutes, it is rated PG-13."
This Boy's Life,"This Boy's Life (1993) is a biography film directed by Michael Caton-Jones. Featuring Robert De, Niro Leonardo, Di Caprio, and others, this movie has an IMDb rating of 7.3/10 and a MetaScore of 60.0. With a runtime of 115 minutes, it is rated R."
Girl with a Pearl Earring,"Girl with a Pearl Earring (2003) is a biography film directed by Peter Webber. Featuring Scarlett Johansson, Colin Firth, Tom Wilkinson, this movie has an IMDb rating of 6.9/10 and a MetaScore of 72.0. With a runtime of 100 minutes, it is rated PG-13."
I'm Not There,"I'm Not There (2007) is a biography film directed by Todd Haynes. Featuring Todd Haynes, Oren Moverman, this movie has an IMDb rating of 6.8/10 and a MetaScore of 73.0. With a runtime of 135 minutes, it is rated R."
The Swimmers,"The Swimmers (2022) is a biography film directed by Sally El Hosaini. Featuring Matthias Schweighalfer, Ali Suliman, Alfredo Tavares, this movie has an IMDb rating of 7.4/10 and a MetaScore of 62.0. With a runtime of 134 minutes, it is rated PG-13."
Escape from Pretoria,"Escape from Pretoria (2020) is a biography film directed by Francis Annan. Featuring Francis Annan, L.H., Adams Tim, and others, this movie has an IMDb rating of 6.8/10 and a MetaScore of 56.0. With a runtime of 106 minutes, it is rated PG-13."
Love & Mercy,"Love & Mercy (2014) is a biography film directed by Bill Pohlad. Featuring John Cusack, Paul Dano, Elizabeth Banks, this movie has an IMDb rating of 7.4/10 and a MetaScore of 80.0. With a runtime of 121 minutes, it is rated PG-13."
Quills,"Quills (2000) is a biography film directed by Philip Kaufman. Featuring Doug Wright, this movie has an IMDb rating of 7.2/10 and a MetaScore of 70.0. With a runtime of 124 minutes, it is rated R."
Respect,"Respect (2021) is a biography film directed by Liesl Tommy. Featuring Tracey Scott, Wilson Callie, Khouri, this movie has an IMDb rating of 6.6/10 and a MetaScore of 61.0. With a runtime of 145 minutes, it is rated PG-13."
The Man Who Knew Infinity,"The Man Who Knew Infinity (2015) is a biography film directed by Matt Brown. Featuring Dev Patel, Jeremy Irons, Malcolm Sinclair, this movie has an IMDb rating of 7.2/10 and a MetaScore of 56.0. With a runtime of 108 minutes, it is rated PG-13."
Henry & June,"Henry & June (1990) is a biography film directed by Philip Kaufman. Featuring Fred Ward, Uma Thurman, Maria de, and others, this movie has an IMDb rating of 6.3/10 and a MetaScore of 62.0. With a runtime of 136 minutes, it is rated NC-17."
Grizzly Man,"Grizzly Man (2005) is a documentary film directed by Werner Herzog. Featuring Timothy Treadwell, Amie Huguenard, Werner Herzog, this movie has an IMDb rating of 7.8/10 and a MetaScore of 87.0. With a runtime of 103 minutes, it is rated R."
Age of Consent,"Age of Consent (1969) is a biography film directed by Michael Powell. Featuring James Mason, Helen Mirren, Jack Mac, and others, this movie has an IMDb rating of 6.3/10 and a MetaScore of 66.0. With a runtime of 98 minutes, it is rated R."
Whiskey Tango Foxtrot,"Whiskey Tango Foxtrot (2016) is a biography film directed by Glenn Ficarra. Featuring Tina Fey, Margot Robbie, Martin Freeman, this movie has an IMDb rating of 6.6/10 and a MetaScore of 57.0. With a runtime of 112 minutes, it is rated R."
Lenny,"Lenny (1974) is a biography film directed by Bob Fosse. Featuring Julian Barry, this movie has an IMDb rating of 7.5/10 and a MetaScore of 61.0. With a runtime of 111 minutes, it is rated R."
"Romulus, My Father","Romulus, My Father (2007) is a biography film directed by Richard Roxburgh. Featuring Eric Bana, Franka Potente, Marton Csokas, this movie has an IMDb rating of 6.6/10 and a MetaScore of 57.0. With a runtime of 104 minutes, it is rated R."
Saving Mr. Banks,"Saving Mr. Banks (2013) is a biography film directed by John Lee Hancock. Featuring Emma Thompson, Tom Hanks, Annie Rose, and others, this movie has an IMDb rating of 7.5/10 and a MetaScore of 65.0. With a runtime of 125 minutes, it is rated PG-13."
Men of Honor,"Men of Honor (2000) is a biography film directed by George Tillman Jr.. Featuring Cuba Gooding, Jr.Robert De, Niro Charlize, and others, this movie has an IMDb rating of 7.2/10 and a MetaScore of 56.0. With a runtime of 129 minutes, it is rated R."
American Underdog,"American Underdog (2021) is a biography film directed by Andrew Erwin. Featuring Kurt Warner, Michael Silver, Jon Erwin, this movie has an IMDb rating of 7.1/10 and a MetaScore of 53.0. With a runtime of 112 minutes, it is rated PG."
My Left Foot,"My Left Foot (1989) is a biography film directed by Jim Sheridan. Featuring Daniel, Day-Lewis Brenda, Fricker Alison, and others, this movie has an IMDb rating of 7.8/10 and a MetaScore of 97.0. With a runtime of 103 minutes, it is rated R."
Funny Girl,"Funny Girl (1968) is a biography film directed by William Wyler. Featuring Isobel Lennart, this movie has an IMDb rating of 7.4/10 and a MetaScore of 88.0. With a runtime of 151 minutes, it is rated G."
Kill the Irishman,"Kill the Irishman (2011) is a biography film directed by Jonathan Hensleigh. Featuring Ray Stevenson, Christopher Walken, Vincent, and others, this movie has an IMDb rating of 7.0/10 and a MetaScore of 50.0. With a runtime of 106 minutes, it is rated R."
The Informant!,"The Informant! (2009) is a biography film directed by Steven Soderbergh. Featuring Matt Damon, Tony Hale, Patton Oswalt, this movie has an IMDb rating of 6.5/10 and a MetaScore of 66.0. With a runtime of 108 minutes, it is rated R."
Ray,"Ray (2004) is a biography film directed by Taylor Hackford. Featuring Taylor Hackford, James, L., and others, this movie has an IMDb rating of 7.7/10 and a MetaScore of 73.0. With a runtime of 152 minutes, it is rated PG-13."
A Walk in the Woods,"A Walk in the Woods (2015) is a adventure film directed by Ken Kwapis. Featuring Robert Redford, Nick Nolte, Emma Thompson, this movie has an IMDb rating of 6.4/10 and a MetaScore of 51.0. With a runtime of 104 minutes, it is rated R."
Imperium,"Imperium (2016) is a biography film directed by Daniel Ragussis. Featuring Daniel Radcliffe, Toni Collette, Tracy Letts, this movie has an IMDb rating of 6.5/10 and a MetaScore of 68.0. With a runtime of 109 minutes, it is rated R."
Big Eyes,"Big Eyes (2014) is a biography film directed by Tim Burton. Featuring Amy Adams, Christoph Waltz, Danny Huston, this movie has an IMDb rating of 7.0/10 and a MetaScore of 62.0. With a runtime of 106 minutes, it is rated PG-13."
Skin,"Skin (2018) is a biography film directed by Guy Nattiv. Featuring Jamie Bell, Danielle Macdonald, Daniel Henshall, this movie has an IMDb rating of 6.8/10 and a MetaScore of 58.0. With a runtime of 118 minutes, it is rated R."
Breathe,"Breathe (2017) is a biography film directed by Andy Serkis. Featuring Andrew Garfield, Claire Foy, Hugh Bonneville, this movie has an IMDb rating of 7.1/10 and a MetaScore of 51.0. With a runtime of 118 minutes, it is rated PG-13."
Big George Foreman,"Big George Foreman (2023) is a biography film directed by George Tillman Jr.. Featuring Frank Baldwin, George Tillman, Jr.Dan Gordon, this movie has an IMDb rating of 6.6/10 and a MetaScore of 45.0. With a runtime of 129 minutes, it is rated PG-13."
Riding in Cars with Boys,"Riding in Cars with Boys (2001) is a biography film directed by Penny Marshall. Featuring Drew Barrymore, Steve Zahn, Adam Garcia, this movie has an IMDb rating of 6.5/10 and a MetaScore of 43.0. With a runtime of 132 minutes, it is rated PG-13."
Senna,"Senna (2010) is a documentary film directed by Asif Kapadia. Featuring Ayrton Senna, Reginaldo Leme, John Bisignano, this movie has an IMDb rating of 8.5/10 and a MetaScore of 79.0. With a runtime of 106 minutes, it is rated PG-13."
Stronger,"Stronger (2017) is a biography film directed by David Gordon Green. Featuring Jake Gyllenhaal, Tatiana Maslany, Miranda Richardson, this movie has an IMDb rating of 6.9/10 and a MetaScore of 76.0. With a runtime of 119 minutes, it is rated R."
Greater,"Greater (2016) is a biography film directed by David L. Hunt. Featuring Neal Mc, Donough, this movie has an IMDb rating of 7.4/10 and a MetaScore of 35.0. With a runtime of 130 minutes, it is rated PG."
An American Crime,"An American Crime (2007) is a biography film directed by Tommy O'Haver. Featuring Elliot Page, Hayley Mc, Farland Nick, and others, this movie has an IMDb rating of 7.2/10 and a MetaScore of 66.0. With a runtime of 98 minutes, it is rated R."
Just Mercy,"Just Mercy (2019) is a biography film directed by Destin Daniel Cretton. Featuring Michael, B., Jordan Jamie, and others, this movie has an IMDb rating of 7.6/10 and a MetaScore of 68.0. With a runtime of 137 minutes, it is rated PG-13."
What's Love Got to Do with It,"What's Love Got to Do with It (1993) is a biography film directed by Brian Gibson. Featuring Angela Bassett, Laurence Fishburne, RaéVen Kelly, this movie has an IMDb rating of 7.3/10 and a MetaScore of 76.0. With a runtime of 118 minutes, it is rated R."
Miracles from Heaven,"Miracles from Heaven (2016) is a biography film directed by Patricia Riggen. Featuring Jennifer Garner, this movie has an IMDb rating of 7.1/10 and a MetaScore of 44.0. With a runtime of 109 minutes, it is rated PG."
The Banker,"The Banker (2020) is a biography film directed by George Nolfi. Featuring Niceole, R., Levy George, and others, this movie has an IMDb rating of 7.3/10 and a MetaScore of 59.0. With a runtime of 120 minutes, it is rated PG-13."
Dangerous Minds,"Dangerous Minds (1995) is a biography film directed by John N. Smith. Featuring Michelle Pfeiffer, George Dzundza, Courtney, and others, this movie has an IMDb rating of 6.5/10 and a MetaScore of 46.0. With a runtime of 99 minutes, it is rated R."
Gold,"Gold (2016) is a biography film directed by Stephen Gaghan. Featuring Matthew Mc, Conaughey Edgar, Ramírez Bryce, and others, this movie has an IMDb rating of 6.7/10 and a MetaScore of 49.0. With a runtime of 120 minutes, it is rated R."
Selena,"Selena (1997) is a biography film directed by Gregory Nava. Featuring Jennifer Lopez, Edward James, Olmos Jon, and others, this movie has an IMDb rating of 6.8/10 and a MetaScore of 67.0. With a runtime of 127 minutes, it is rated PG."
"McFarland, USA","McFarland, USA (2015) is a biography film directed by Niki Caro. Featuring Christopher Cleveland, Bettina Gilois, Grant Thompson, this movie has an IMDb rating of 7.4/10 and a MetaScore of 60.0. With a runtime of 129 minutes, it is rated PG."
Tolkien,"Tolkien (2019) is a biography film directed by Dome Karukoski. Featuring Nicholas Hoult, Lily Collins, Colm Meaney, this movie has an IMDb rating of 6.8/10 and a MetaScore of 48.0. With a runtime of 112 minutes, it is rated PG-13."
Soul Surfer,"Soul Surfer (2011) is a biography film directed by Sean McNamara. Featuring Anna Sophia, Robb, this movie has an IMDb rating of 7.0/10 and a MetaScore of 53.0. With a runtime of 112 minutes, it is rated PG."
Official Secrets,"Official Secrets (2019) is a biography film directed by Gavin Hood. Featuring Sara Bernstein, Gregory Bernstein, Gavin Hood, this movie has an IMDb rating of 7.3/10 and a MetaScore of 63.0. With a runtime of 112 minutes, it is rated R."
The Great Debaters,"The Great Debaters (2007) is a biography film directed by Denzel Washington. Featuring Robert Eisele, Jeffrey Porro, Tony Scherman, this movie has an IMDb rating of 7.5/10 and a MetaScore of 65.0. With a runtime of 126 minutes, it is rated PG-13."
The Catcher Was a Spy,"The Catcher Was a Spy (2018) is a biography film directed by Ben Lewin. Featuring Paul Rudd, Pierfrancesco Favino, Tom Wilkinson, this movie has an IMDb rating of 6.3/10 and a MetaScore of 49.0. With a runtime of 94 minutes, it is rated R."
The Infiltrator,"The Infiltrator (2016) is a biography film directed by Brad Furman. Featuring Bryan Cranston, John Leguizamo, Diane Kruger, this movie has an IMDb rating of 7.0/10 and a MetaScore of 66.0. With a runtime of 127 minutes, it is rated R."
Belle,"Belle (2021) is a animation film directed by Mamoru Hosoda. Featuring Kaho Nakamura, this movie has an IMDb rating of 7.1/10 and a MetaScore of 83.0. With a runtime of 121 minutes, it is rated PG."
Coach Carter,"Coach Carter (2005) is a biography film directed by Thomas Carter. Featuring Samuel, L., Jackson Rick, and others, this movie has an IMDb rating of 7.3/10 and a MetaScore of 57.0. With a runtime of 136 minutes, it is rated PG-13."
Rudy,"Rudy (1993) is a biography film directed by David Anspaugh. Featuring Sean Astin, Jon Favreau, Ned Beatty, this movie has an IMDb rating of 7.5/10 and a MetaScore of 71.0. With a runtime of 114 minutes, it is rated PG."
Patton,"Patton (1970) is a biography film directed by Franklin J. Schaffner. Featuring Francis Ford, Coppola Edmund, H., and others, this movie has an IMDb rating of 7.9/10 and a MetaScore of 86.0. With a runtime of 172 minutes, it is rated PG."
La Bamba,"La Bamba (1987) is a biography film directed by Luis Valdez. Featuring Lou Diamond, Phillips Esai, Morales Rosanna, and others, this movie has an IMDb rating of 6.9/10 and a MetaScore of 65.0. With a runtime of 108 minutes, it is rated PG-13."
The Straight Story,"The Straight Story (1999) is a biography film directed by David Lynch. Featuring Richard Farnsworth, Sissy Spacek, Jane Galloway, and others, this movie has an IMDb rating of 8.0/10 and a MetaScore of 86.0. With a runtime of 112 minutes, it is rated G."
The World's Fastest Indian,"The World's Fastest Indian (2005) is a biography film directed by Roger Donaldson. Featuring Anthony Hopkins, Diane Ladd, Iain Rea, this movie has an IMDb rating of 7.8/10 and a MetaScore of 68.0. With a runtime of 127 minutes, it is rated PG-13."
Boys Don't Cry,"Boys Don't Cry (1999) is a biography film directed by Kimberly Peirce. Featuring Hilary Swank, Chloë Sevigny, Peter Sarsgaard, this movie has an IMDb rating of 7.5/10 and a MetaScore of 86.0. With a runtime of 118 minutes, it is rated R."
Cinderella Man,"Cinderella Man (2005) is a biography film directed by Ron Howard. Featuring Cliff Hollingsworth, Akiva Goldsman, this movie has an IMDb rating of 8.0/10 and a MetaScore of 69.0. With a runtime of 144 minutes, it is rated PG-13."
Escape from Alcatraz,"Escape from Alcatraz (1979) is a action film directed by Don Siegel. Featuring Clint Eastwood, Patrick Mc, Goohan Roberts, and others, this movie has an IMDb rating of 7.6/10 and a MetaScore of 76.0. With a runtime of 112 minutes, it is rated PG."
Patch Adams,"Patch Adams (1998) is a biography film directed by Tom Shadyac. Featuring Robin Williams, Daniel London, Monica Potter, this movie has an IMDb rating of 6.8/10 and a MetaScore of 26.0. With a runtime of 115 minutes, it is rated PG-13."
